3692,'Class of Nuke Em High (1986)',Comedy
880,'Island of Dr. Moreau The (1996)',Sci-Fi
522,'Romper Stomper (1992)',Action
33679,'Mr. & Mrs. Smith (2005)',Action
485,'Last Action Hero (1993)',Action
953,'Its a Wonderful Life (1946)',Drama
78376,'Wheel The (La Roue) (1923)',Drama
3397,'Great Muppet Caper The (1981)',Children
2613,'Night of the Comet (1984)',Comedy
4975,'Vanilla Sky (2001)',Mystery
539,'Sleepless in Seattle (1993)',Comedy
1304,'Butch Cassidy and the Sundance Kid (1969)',Action
38600,'Factotum (2005)',Drama
1035,'Sound of Music The (1965)',Musical
2038,'Cat from Outer Space The (1978)',Children
72011,'Up in the Air (2009)',Drama
1188,'Strictly Ballroom (1992)',Comedy
3152,'Last Picture Show The (1971)',Drama
73017,'Sherlock Holmes (2009)',Action
6378,'Italian Job The (2003)',Action
371,'Paper The (1994)',Comedy
4998,'Defiant Ones The (1958)',Adventure
480,'Jurassic Park (1993)',Action
34,'Babe (1995)',Children
7,'Sabrina (1995)',Comedy
377,'Speed (1994)',Action
3996,'Crouching Tiger Hidden Dragon (Wo hu cang long) (2000)',Action
648,'Mission: Impossible (1996)',Action
6867,'Station Agent The (2003)',Comedy
4,'Waiting to Exhale (1995)',Comedy
42011,'Fun with Dick and Jane (2005)',Comedy
1265,'Groundhog Day (1993)',Comedy
1230,'Annie Hall (1977)',Comedy
8656,'Short Film About Killing A (KrÃ³tki film o zabijaniu) (1988)',Crime
527,'Schindlers List (1993)',Drama
1223,'Grand Day Out with Wallace and Gromit A (1989)',Adventure
2829,'Muse The (1999)',Comedy
2028,'Saving Private Ryan (1998)',Action
3386,'JFK (1991)',Drama
2985,'RoboCop (1987)',Action
595,'Beauty and the Beast (1991)',Animation
1136,'Monty Python and the Holy Grail (1975)',Adventure
2318,'Happiness (1998)',Comedy
21,'Get Shorty (1995)',Comedy
1201,'Good the Bad and the Ugly The (Buono il brutto il cattivo Il) (1966)',Action
176,'Living in Oblivion (1995)',Comedy
261,'Little Women (1994)',Drama
1645,'Devils Advocate The (1997)',Drama
110,'Braveheart (1995)',Action
3986,'6th Day The (2000)',Action
4006,'Transformers: The Movie (1986)',Adventure
2986,'RoboCop 2 (1990)',Action
885,'Bogus (1996)',Children
5299,'My Big Fat Greek Wedding (2002)',Comedy
272,'Madness of King George The (1994)',Comedy
33493,'Star Wars: Episode III - Revenge of the Sith (2005)',Action
7256,'Touching the Void (2003)',Adventure
