137885,3692,1
138376,880,3
137966,522,4
138437,33679,3.5
137804,485,3
137936,953,4.5
138325,78376,4.5
138019,3397,4.5
138382,2613,4
138134,4975,4
138205,539,5
138038,1304,5
137993,38600,3.5
138102,1035,3
137977,2038,3
138301,72011,3.5
138157,1188,4
138208,3152,3
137851,73017,3
138254,6378,4
137886,371,4
138325,4998,5
138270,480,4
138185,34,4
138009,7,3
138142,377,4
138493,3996,5
138056,648,3
137810,6867,4.5
137810,4,3.5
137879,42011,2
138081,1265,3
138291,1230,5
138148,8656,4
137988,527,5
138201,1223,4.5
138270,2829,3
138100,2028,5
138103,3386,3
138135,2985,1.5
138161,595,3.5
138164,1136,5
138270,2318,4
137878,21,1
138070,1201,4
137976,176,5
138279,261,5
138493,1645,4.5
138335,110,4
138233,3986,3
137899,4006,3
138254,2986,2
137885,885,2
138149,5299,4.5
138266,272,4
138335,33493,4
137923,7256,3
138317,2986,2
138335,2291,4
138025,8958,1
138148,608,4
138317,4132,2
137976,3897,4
138176,68157,4.5
138233,4007,3.5
138259,1527,4
138397,6,5
137925,780,3
137838,55247,3.5
138018,1952,4
138123,168,4
137830,508,4
138267,1304,3
137885,2148,1
138429,7254,3.5
138064,594,3.5
137885,674,2
138386,102058,4
138164,6102,2.5
138191,1234,3.5
137839,1090,4.5
137843,7153,4.5
138162,1358,4
138305,6333,2.5
138286,480,2
137993,8576,4
138481,471,3.5
137976,3578,3
137918,5010,2.5
138365,3108,2
138181,858,5
138454,281,4
138397,4993,4.5
138259,8464,4
138486,2797,4.5
138189,153,3
138110,454,3
138452,208,3
137828,5255,3.5
137976,1242,4
138045,62,4
138209,589,4.5
138382,3824,3
137885,172,1
137918,3254,2.5
138406,47894,4
138472,1527,3.5
138231,48516,4.5
138197,2012,3
138456,231,3.5
137893,1247,3.5
138411,2005,4
138256,2858,2.5
138335,1777,2.5
138062,2392,1.5
138186,33794,3.5
137977,7899,3.5
137934,953,5
138461,367,3.5
138397,6979,4.5
137854,3985,3
138162,369,4
138151,457,4
138452,48,2
138397,1779,3.5
138381,1883,5
138377,926,5
138330,1805,3
138325,1722,2.5
137839,1653,4.5
138022,5945,4.5
138191,52435,3
137869,57640,3.5
138109,59387,3
138291,224,4
137830,590,5
138162,1097,5
137885,278,2
138456,5380,5
138208,5970,3
138072,3578,4
138219,527,3
138200,6773,4.5
138136,2000,4
138110,1089,4
138130,4,3
138387,1617,5
138411,1207,4.5
138404,6350,4
138246,2987,2
137885,420,1
138211,3893,3.5
137977,673,2
137800,1258,4
137946,2384,4
138211,3186,5
137864,216,3.5
138464,1188,4
137955,69481,4
137973,5,4
138244,494,3
138205,2987,4
138186,99114,5
138397,1556,3.5
138439,48780,3
137912,5989,3.5
138191,262,4.5
137914,253,5
138200,8948,3
137893,262,2
138404,379,3
138483,123,4
138397,5420,4.5
138467,1176,3
138486,527,4
138414,2716,3
138128,2424,3
138343,4262,4
138219,2076,5
138137,736,3.5
138072,8644,2.5
138449,4181,5
138072,524,2.5
138175,1777,3.5
138460,1148,1
138234,1721,2.5
138419,1291,5
138325,1036,5
137971,1304,2
137934,4010,4
138406,1210,3.5
137902,59784,3.5
137975,1203,4
137852,913,4
138411,1748,3
137829,4224,3
138212,5064,3.5
137867,370,3
138208,2804,3
138211,5992,4
137897,1367,3.5
137854,1214,5
137974,3256,3
138200,40819,4.5
138115,1270,3.5
137879,104155,3
137981,3107,4
138188,2762,4.5
137806,1206,4
138493,7008,5
138307,8784,2
137976,2320,2
137885,2429,2
138261,588,4.5
137977,1599,2
137802,253,4
137918,3809,2.5
137817,6,5
138426,2,4
138166,47,4.5
137838,76091,4
137868,6690,3.5
137981,292,4
137928,196,3
138307,8949,2
137863,464,3
138466,2858,5
138444,1625,3
138397,1010,2
138072,553,3
138097,785,1
137830,3751,3
138197,1247,4
138208,6156,3
137925,1261,5
137813,3996,4.5
137803,356,1
138208,2011,3
138116,288,4
137904,1272,3.5
138030,3545,5
137989,2797,4
138135,41566,4
138148,3105,4
138080,1200,4
138241,1263,5
138267,921,4
138208,315,1
137992,1235,4
137995,158,3
138454,235,3
138335,2300,4
138134,5462,3
137953,2762,4.5
138104,1198,4
138285,3952,5
138301,7047,3
137826,5952,4
138162,4028,5
137926,3199,3
138186,2325,4.5
137904,307,4.5
138083,51255,4
137869,6957,2.5
138019,2333,4
138171,4306,3.5
138382,4465,3
137977,3489,3.5
138328,691,3
137993,509,4
138307,1350,4
